scala 0.0816326530612  hf=24 bc=294
unix shell 0.162828947368  hf=99 bc=608
xsl (xslt/xpath/xsl-fo) 0.206896551724  hf=18 bc=87
objective c 0.211428571429  hf=37 bc=175
perl 0.225255972696  hf=198 bc=879
java 0.226095003085  hf=733 bc=3242
tcl 0.262295081967  hf=32 bc=122
javascript 0.268292682927  hf=99 bc=369
fortran 0.322784810127  hf=51 bc=158
zope 0.323943661972  hf=23 bc=71
c 0.324675324675  hf=725 bc=2233
python 0.326247689464  hf=353 bc=1082
php 0.331818181818  hf=219 bc=660
jsp 0.343137254902  hf=35 bc=102
c++ 0.389857369255  hf=984 bc=2524
lua 0.452054794521  hf=33 bc=73
c# 0.455149501661  hf=137 bc=301
matlab 0.465517241379  hf=27 bc=58
assembly 0.5  hf=61 bc=122

