scala, 4.64285714286,1365,294
zope, 19.8873239437,1412,71
unix shell, 39.8404605263,24223,608
emacs-lisp, 42.2777777778,1522,36
groovy, 50.3461538462,1309,26
lisp, 52.2592592593,1411,27
visual basic .net, 66.5555555556,2396,36
visual basic, 68.9230769231,896,13
perl, 73.3913538111,64511,879
java, 76.4885872918,247976,3242
matlab, 83.7931034483,4860,58
s/r, 83.9411764706,1427,17
fortran, 84.753164557,13391,158
actionscript ,87.4166666667,1049,12
pascal, 87.6666666667,1052,12
c++, 95.6941362916,241532,2524
python, 96.0526802218,103929,1082
lua, 97.8082191781,7140,73
c, 99.9502910882,223189,2233
objective c, 104.577142857,18301,175
php, 125.653030303,82931,660
javascript, 131.647696477,48578,369
xsl (xslt/xpath/xsl-fo), 138.482758621,12048,87
ruby, 148.574074074,8023,54
scheme, 153.529411765,7830,51
assembly ,156.893442623,19141,122
c#, 160.514950166,48315,301
pl/sql, 174.8,4370,25
jsp, 183.294117647,18696,102
tcl, 188.819672131,23036,122
glsl (opengl shading language), 191.166666667,1147,6
object pascal ,208.523809524,4379,21
xbase/clipper, 575.444444444,5179,9
delphi/kylix ,799.722222222,14395,18
