scala 0.0816326530612  hf=24 bc=294
unix shell 0.133223684211  hf=81 bc=608
objective c 0.165714285714  hf=29 bc=175
perl 0.179749715586  hf=158 bc=879
java 0.181369524985  hf=588 bc=3242
xsl (xslt/xpath/xsl-fo) 0.183908045977  hf=16 bc=87
javascript 0.233062330623  hf=86 bc=369
tcl 0.262295081967  hf=32 bc=122
c 0.265114196149  hf=592 bc=2233
python 0.287430683919  hf=311 bc=1082
c# 0.299003322259  hf=90 bc=301
c++ 0.300713153724  hf=759 bc=2524
php 0.30303030303  hf=200 bc=660
fortran 0.303797468354  hf=48 bc=158
zope 0.323943661972  hf=23 bc=71
assembly 0.327868852459  hf=40 bc=122
jsp 0.333333333333  hf=34 bc=102
lua 0.397260273973  hf=29 bc=73
matlab 0.448275862069  hf=26 bc=58
