,ratio,hotfixes,bump commits,,,ratio,bug fixes,bump commits
actionscript,0.166666667,2,12,,actionscript,87.41666667,1049,12
assembly,0.327868852,40,122,,assembly,156.8934426,19141,122
boo,1,5,5,,,,,
c,0.265114196,592,2233,,c,99.95029109,223189,2233
c#,0.299003322,90,301,,c#,160.5149502,48315,301
c++,0.300713154,759,2524,,c++,95.69413629,241532,2524
delphi/kylix,0.388888889,7,18,,delphi/kylix ,799.7222222,14395,18
emacs-lisp,0.222222222,8,36,,emacs-lisp,42.27777778,1522,36
flex,0.1875,3,16,,,,,
forth,0.2,2,10,,,,,
fortran,0.303797468,48,158,,fortran,84.75316456,13391,158
free pascal,0.125,1,8,,,,,
glsl (opengl shading language),0.666666667,4,6,,glsl (opengl shading language),191.1666667,1147,6
groovy,0.153846154,4,26,,groovy,50.34615385,1309,26
java,0.181369525,588,3242,,java,76.48858729,247976,3242
javascript,0.233062331,86,369,,javascript,131.6476965,48578,369
jsp,0.333333333,34,102,,jsp,183.2941176,18696,102
lisp,0.481481481,13,27,,lisp,52.25925926,1411,27
lua,0.397260274,29,73,,lua,97.80821918,7140,73
matlab,0.448275862,26,58,,matlab,83.79310345,4860,58
object pascal,0.380952381,8,21,,object pascal ,208.5238095,4379,21
objective c,0.165714286,29,175,,objective c,104.5771429,18301,175
pascal,0.583333333,7,12,,pascal,87.66666667,1052,12
perl,0.179749716,158,879,,perl,73.39135381,64511,879
php,0.303030303,200,660,,php,125.6530303,82931,660
pl/sql,0.04,1,25,,pl/sql,174.8,4370,25
python,0.287430684,311,1082,,python,96.05268022,103929,1082
ruby,0.240740741,13,54,,ruby,148.5740741,8023,54
,,,,,s/r,83.94117647,1427,17
scala,0.081632653,24,294,,scala,4.642857143,1365,294
scheme,0.176470588,9,51,,scheme,153.5294118,7830,51
tcl,0.262295082,32,122,,tcl,188.8196721,23036,122
unix shell,0.133223684,81,608,,unix shell,39.84046053,24223,608
,,,,,visual basic,68.92307692,896,13
visual basic .net,0.083333333,3,36,,visual basic .net,66.55555556,2396,36
xbase/clipper,0.222222222,2,9,,xbase/clipper,575.4444444,5179,9
xsl (xslt/xpath/xsl-fo),0.183908046,16,87,,xsl (xslt/xpath/xsl-fo),138.4827586,12048,87
zope,0.323943662,23,71,,zope,19.88732394,1412,71
